GuestName,Comment,Rating,ReviewDate,Source,Language
metin gökkoca,"This is our 5th visit and it's excellent in every way. I definitely recommend it.

We would also like to thank Ms. Ayşenur at Fox Bar for her attentiveness and friendliness.",5,2026-08-03T19:35:00Z,Import,tr
Анна Калинина,"Everything was fantastic! The service, the food, the hospitality! Absolutely fantastic!

I'd especially like to praise Damla. She helped us book a restaurant reservation and maintained an interesting and lively conversation. Everything was simply fantastic! Our family was thrilled!",5,2026-08-03T18:55:00Z,Import,en
elena graf,"We spent our family vacation at the hotel. It was lovely. The grounds were spacious and well-organized, but not too large, unlike some other hotels we've stayed at in Turkey. There was plenty of delicious food. You could even grab a bite to eat at the bar at night. The pool was never crowded, and there was plenty of space on the beach as well. A particularly nice feature was that there were always sun loungers available, both on the beach and by the pool.

To top it all off, we had a wonderful dinner on the rooftop terrace at the Sehrazat restaurant. The food was also delicious, and the service was excellent. Many thanks to Ida! 😊",5,2026-08-03T18:35:00Z,Import,tr
Светлана Токарева,"This is our first time at the ADORA Hotel. My grandchildren, daughter, and I are enjoying a wonderful summer vacation on the Mediterranean coast. The stay is so pleasant and relaxing that we want to come back again. The hotel's entertainment staff keeps us busy all day long and never lets us get bored. The hotel's service staff is wonderful and friendly. Ida is always helpful and accommodating. We also visited the SEHRAZAT restaurant. The view of the hotel and the sea from the 7th floor is magnificent. The food is exquisite and the service is excellent. WE WILL DEFINITELY BE BACK. With love from Yekaterinburg.",5,2026-08-03T18:15:00Z,Import,en
Eugen Hi,"We highly recommend this hotel. This is our second time staying here, and we always enjoy coming back. It's clean and the staff are very attentive. The Kids Club does a fantastic job.

The à la carte dining, with its stunning view, is a wonderful way to end the holiday – the view was absolutely beautiful. Ida and Hasan were very friendly and welcoming staff members.",5,2026-08-03T17:57:30Z,Import,en
Olga Lindt,"Very good hotel, highly recommended.",5,2026-08-03T17:42:30Z,Import,en
Марина Сараева,"I loved the Mezzetto restaurant! The staff was pleasant and friendly, and the waiter, Ahmed, was very understanding and helpful. The seafood was delicious: squid and shrimp. The pumpkin dessert was delicious too.",5,2026-08-03T17:27:30Z,Import,en
Alex Lagutin,"The place is great. The location is very close to the beach, the service is perfectly fine, we liked everything.
Big thanks to Damla",5,2026-08-03T17:12:30Z,Import,en
Berfin Turan,"We have been happily coming to this hotel for three years and we enjoy it to the fullest. We have a very pleasant and fun time with both our families and friends. The animation team and baristas are very sweet, especially Mr. Muhammet and Mr. Ayşenur, they are very good at their jobs and very friendly. Mr. Doğu was attentive and caring towards us throughout our entire holiday, we thank him very much as well. Thank you to the entire hotel team ❤️",5,2026-08-03T13:35:00Z,Import,tr
Eymen Koc,"We are currently spending our vacation at the Adora Resort Hotel and are very satisfied. The hotel is very clean and well-maintained. The staff is friendly, attentive, and always helpful. The food is varied and delicious – there's something for everyone. The pool area and the beach are beautiful and perfect for relaxing. The entertainment program is also fun and creates a great atmosphere. Overall, we feel very comfortable here and are enjoying our stay. We would definitely recommend the Adora Resort Hotel and would love to come back!",5,2026-08-03T11:55:00Z,Import,en
